Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,Returns,Volatility
2025-07-31,115758.203125,118919.984375,115505.21875,117833.6328125,69370346018,118223.8125,111654.12171875,116837.6138064756,-0.017592832754910526,0.010360019631102106
2025-08-01,113320.0859375,116060.7734375,112724.4453125,115738.953125,91294530181,118018.05546875,111801.94234375,116502.61115228744,-0.021062154747402473,0.011316118361367986
2025-08-02,112526.9140625,114021.6015625,112005.765625,113320.390625,56870866000,117688.5953125,111930.66125,116123.97333421244,-0.006999393518263508,0.010714189019233095
2025-08-03,114217.671875,114747.421875,111943.8046875,112525.8046875,48099615826,117406.99375,112105.5665625,115942.42081428744,0.015025363723748075,0.01127270507833972
2025-08-04,115071.8828125,115729.46875,114130.40625,114223.921875,35783028986,117271.728515625,112295.96375,115859.51243316484,0.007478798363486527,0.010898375063242597
2025-08-05,114141.4453125,115117.4375,112701.109375,115072.1875,61039182286,117041.875390625,112442.8575,115695.88699310152,-0.008085706753543476,0.010776127262450476
2025-08-06,115028.0,115737.8359375,113372.25,114140.9140625,56379133510,116828.783203125,112651.39515625,115632.27870804424,0.007767158415357134,0.010898170680716433
2025-08-07,117496.8984375,117676.90625,114279.7109375,115030.0546875,64051649681,116803.466796875,112903.6665625,115809.86153942096,0.021463456180234486,0.011837858281827237
2025-08-08,116688.7265625,117689.203125,115917.4609375,117505.5,59713005166,116740.904296875,113143.7553125,115893.5629701904,-0.0068782400705657,0.011933346596399518
2025-08-09,116500.359375,117906.609375,116363.8359375,116678.2734375,54004312429,116700.8828125,113407.57046875,115951.35310398178,-0.0016142706587778388,0.011880422049195547
2025-08-10,119306.7578125,119320.7109375,116485.1640625,116497.71875,64755458694,116794.24375,113748.5575,116270.915457174,0.02408918266480664,0.013072701007654177
2025-08-11,118731.4453125,122321.09375,118159.03125,119306.8125,90528784177,116731.0453125,114103.44359375,116505.2516338717,-0.004822128356753663,0.012155876040892393
2025-08-12,120172.90625,120302.46875,118228.71875,118717.6640625,72803657984,116801.942578125,114395.34625,116854.55207350296,0.012140515376580119,0.012233380201091916
2025-08-13,123344.0625,123682.453125,118939.6328125,120168.9765625,90904808795,117050.745703125,114741.31484375,117472.6006855503,0.026388279596092357,0.013466975349295933
2025-08-14,118359.578125,124457.1171875,117254.8828125,123339.3984375,104055627395,117086.93046875,114961.28125,117557.07472740265,-0.040411222672351976,0.016430122166436193
2025-08-15,117398.3515625,119332.3125,116864.5703125,118365.78125,68665353159,117059.4796875,115170.04828125,117541.95823550716,-0.008121240187970669,0.016529966302512196
2025-08-16,117491.3515625,117996.0625,117271.953125,117398.421875,48036922378,116961.62265625,115378.10671875,117537.13855236363,0.0007921746665282559,0.01625557014021003
2025-08-17,117453.0625,118595.7734375,117279.5234375,117492.7890625,45852169525,116938.051953125,115580.61390625,117529.13130928137,-0.00032588834829794244,0.01600594481213377
2025-08-18,116252.3125,117614.171875,114723.6796875,117453.90625,72787808090,116854.56015625,115737.94875,117407.52951792124,-0.01022323279139703,0.01616580645788968
2025-08-19,112831.1796875,116764.5,112730.3984375,116241.859375,71657600353,116604.559765625,115851.865625,116971.68667692874,-0.029428514056440758,0.017405390600938594
2025-08-20,114274.7421875,114625.796875,112387.9609375,112828.0234375,67993811526,116530.38671875,116023.39484375,116714.83482079268,0.012794003430595335,0.01730050023896588
2025-08-21,112419.03125,114802.6484375,111986.234375,114275.6875,57817883700,116485.333984375,116094.5890625,116305.71067119337,-0.01623902974513114,0.017030323620408887
2025-08-22,116874.0859375,117377.3984375,111678.9453125,112433.734375,82528088240,116702.692578125,116239.11125,116359.84164893685,0.03962900798880531,0.01912239799402675
2025-08-23,115374.328125,116996.25,114536.109375,116866.3671875,55377142586,116760.525390625,116385.91109375,116265.98321808572,-0.012832252765613172,0.01914369593674877
2025-08-24,113458.4296875,115615.0859375,111060.546875,115387.390625,73961489632,116679.852734375,116490.45609375,115998.59716755374,-0.016605933647771742,0.01944847798709831
2025-08-25,110124.3515625,113637.84375,109324.28125,113456.8984375,85706860190,116478.998046875,116508.30171875,115439.14520516768,-0.029385900493979156,0.020442054348508387
2025-08-26,111802.65625,112397.015625,108762.0390625,110124.1015625,69396320317,116317.730859375,116578.3578125,115092.81292372313,0.015240086898922645,0.020688918090814617
2025-08-27,111222.0625,112619.4140625,110398.265625,111795.7109375,62137056409,116003.9890625,116623.79359375,114724.17002622569,-0.005193022862549412,0.019997951028141794
2025-08-28,112544.8046875,113450.078125,110900.921875,111219.0546875,58860155962,115796.79296875,116648.15859375,114516.61142253752,0.01189280397942638,0.02022335868815139
2025-08-29,108410.8359375,112619.0546875,107559.625,112550.5234375,77843379644,115392.316796875,116496.63125,113935.1089953911,-0.036731759955323295,0.021694588375192204
2025-08-30,108808.0703125,108929.3515625,107444.4453125,108409.40625,51486264208,114867.382421875,116322.4528125,113446.81959702051,0.003664157476186425,0.02079619843323701
2025-08-31,108236.7109375,109491.0,108104.65625,108818.4609375,47986191770,114342.645703125,116138.4825,112950.61877230427,-0.00525107534173741,0.020796889859732517
2025-09-01,109250.59375,109890.5859375,107271.1796875,108228.75,66870372995,113796.530078125,115941.17203125,112598.23543684672,0.009367272930950854,0.02068969848521652
2025-09-02,111200.5859375,111748.015625,108454.03125,109243.0703125,74776999491,113189.35625,115768.1896875,112465.12596071846,0.017848801737061493,0.020097273795772405
2025-09-03,111723.2109375,112600.2265625,110582.9609375,111190.6953125,61119643565,112857.537890625,115647.11015625,112394.46738707862,0.004699840343410866,0.018368061227686708
2025-09-04,110723.6015625,112208.328125,109347.2265625,111718.1484375,60131132901,112523.800390625,115486.81203125,112235.33730854733,-0.008947195185422974,0.018381766487767445
2025-09-05,110650.984375,113357.4921875,110233.3984375,110723.015625,60241647677,112181.78203125,115314.03484375,112084.44655297139,-0.0006558419928113235,0.018369879494834374
2025-09-06,110224.6953125,111275.015625,110024.0859375,110650.5703125,21500719036,111820.363671875,115158.46421875,111907.32738721222,-0.0038525555367432407,0.01836145941848601
2025-09-07,111167.6171875,111591.078125,110211.625,110221.328125,24618007520,111566.12890625,115023.01703125,111836.87879676344,0.008554542812086785,0.01845309522364557
2025-09-08,112071.4296875,112869.234375,110630.609375,111163.015625,40212813407,111528.14140625,114918.42984375,111859.21697683359,0.008130177859939192,0.017403814795782718
2025-09-09,111530.546875,113225.4375,110776.703125,112077.578125,45984480722,111390.931640625,114800.25,111827.91506237324,-0.004826232823193166,0.017155970463834568
2025-09-10,113955.359375,114275.25,110940.078125,111531.25,56377473784,111467.748046875,114679.44890625,112030.52880643294,0.02174124101370767,0.017487897709039923
2025-09-11,115507.5390625,115522.546875,113453.8359375,113961.4296875,45685065332,111399.420703125,114614.50046875,112361.67264034408,0.013620945043858246,0.015277835643752125
2025-09-12,116101.578125,116769.3828125,114794.484375,115507.7890625,54785725894,111435.783203125,114569.17203125,112717.85411507322,0.005142859655061782,0.015039554447257927
2025-09-13,115950.5078125,116334.6328125,115248.2734375,116093.5625,34549454947,111560.387109375,114535.46453125,113025.72589578053,-0.0013011908618274504,0.014507462046940154
2025-09-14,115407.65625,116181.5,115222.3984375,115950.2890625,32798036057,111824.55234375,114484.6703125,113252.57640570619,-0.004681752350561785,0.012707319799064283
2025-09-15,115444.875,116747.8828125,114461.0625,115399.6328125,52937859416,112006.66328125,114404.59796875,113461.3667480199,0.0003224981011604733,0.012348139341712416
2025-09-16,116843.1875,117005.2734375,114813.09375,115423.7578125,45781744593,112287.71953125,114382.9721875,113783.44491487514,0.012112382641498831,0.012447305121296092
2025-09-17,116468.5078125,117328.609375,114794.9765625,116840.5078125,60528025996,112483.9046875,114353.899375,114039.16519083941,-0.0032066883445814875,0.012307459907418442
2025-09-18,117137.203125,117911.7890625,116188.796875,116461.265625,49457272032,112920.223046875,114340.0196875,114334.21642266423,0.005741425944741474,0.008334132640047464
